=== 參數設定 ===
股票資料: stock_00631L_data.csv
初始資金: 1,000,000.00
現金比例: 0.5
股票比例: 0.5
再平衡閾值: 0.1

=== 績效指標 ===
總報酬率: 236.30%
年化報酬率: 12.30%
最大回撤: -30.71%
交易次數: 94
夏普比率: 0.70

=== 交易明細 ===
         date  type   price   shares      value
0  2015-01-23  sell   22.38  1205.55   26980.20
1  2015-04-27  sell   24.78  1140.29   28256.31
2  2015-06-04   buy   21.69  1596.05   34618.26
3  2015-07-27   buy   19.45  1382.16   26883.01
4  2015-08-19   buy   17.19  1668.70   28684.88
5  2015-08-24   buy   14.44  2576.08   37198.62
6  2015-08-27  sell   15.89  1351.89   21481.48
7  2015-09-09  sell   18.40  1928.73   35488.56
8  2015-11-04  sell   20.83  1536.92   32014.05
9  2015-11-13   buy   18.43  1615.55   29774.51
10 2016-01-07   buy   16.02  1987.85   31845.30
11 2016-02-16  sell   17.75  1384.75   24579.39
12 2016-03-10  sell   19.58  1263.18   24733.12
13 2016-05-04   buy   17.60  1449.42   25509.87
14 2016-06-01  sell   19.59  1382.38   27080.88
15 2016-07-13  sell   21.56  1180.29   25447.07
16 2016-08-08  sell   23.80  1160.20   27612.81
17 2017-02-06  sell   26.22  1084.20   28427.85
18 2017-05-02  sell   28.86  1024.98   29581.05
19 2017-06-20  sell   31.87  1009.86   32184.28
20 2017-08-31  sell   35.16   953.27   33516.95
21 2018-01-19  sell   38.98   951.66   37095.59
22 2018-02-06   buy   33.60  1478.71   49684.61
23 2018-03-12  sell   38.08  1173.46   44685.37
24 2018-04-26   buy   33.98  1132.71   38489.50
25 2018-06-04  sell   37.80  1005.94   38024.42
26 2018-10-11   buy   31.65  1836.46   58124.08
27 2019-02-20  sell   34.97   984.45   34426.08
28 2019-04-08  sell   38.80   974.98   37829.21
29 2019-09-18  sell   42.71   859.59   36713.29
30 2019-10-31  sell   47.08   831.65   39154.29
31 2019-12-12  sell   52.30   852.76   44599.49
32 2020-03-02   buy   46.38  1036.14   48056.09
33 2020-03-12   buy   39.43  1522.13   60017.78
34 2020-03-16   buy   34.63  1302.46   45104.25
35 2020-03-18   buy   30.66  1301.06   39890.36
36 2020-03-19   buy   26.40  1726.35   45575.51
37 2020-03-20  sell   30.45  1537.76   46824.68
38 2020-03-26  sell   34.30  1211.43   41552.17
39 2020-04-08  sell   37.83   950.58   35960.30
40 2020-04-28  sell   41.82   926.59   38749.95
41 2020-06-03  sell   47.51  1107.64   52623.81
42 2020-07-02  sell   52.75   863.70   45559.99
43 2020-07-21  sell   60.30  1034.56   62384.18
44 2020-08-10  sell   66.55   727.42   48409.53
45 2020-11-16  sell   76.30   943.29   71972.71
46 2020-12-08  sell   85.05   710.92   60464.02
47 2021-01-07  sell   97.45   834.05   81278.42
48 2021-01-19  sell  107.30   563.43   60456.20
49 2021-04-06  sell  119.00   575.75   68514.84
50 2021-05-12   buy  105.10   736.41   77396.48
51 2021-05-25  sell  116.45   578.59   67376.96
52 2021-06-25  sell  128.65   535.51   68893.41
53 2021-08-20   buy  115.50   612.44   70737.08
54 2021-08-27  sell  129.40   610.73   79027.98
55 2021-12-27  sell  143.60   532.02   76397.47
56 2022-03-07   buy  128.65   594.29   76455.73
57 2022-05-09   buy  112.35   785.08   88203.24
58 2022-06-30   buy   98.35   826.16   81252.91
59 2022-07-06   buy   88.45   695.84   61546.91
60 2022-07-18  sell   98.30   657.81   64663.07
61 2022-08-12  sell  109.45   635.27   69529.97
62 2022-09-07   buy   95.90   836.21   80192.13
63 2022-09-28   buy   84.65   842.10   71283.84
64 2022-10-13   buy   75.60   808.92   61154.40
65 2022-11-09  sell   85.20   806.97   68753.78
66 2022-11-15  sell   97.75   867.70   84817.51
67 2023-01-30  sell  111.55   782.41   87278.36
68 2023-05-25  sell  123.25   563.24   69419.74
69 2023-06-13  sell  139.35   652.98   90992.20
70 2023-10-26   buy  122.75   720.15   88398.34
71 2023-11-13  sell  135.40   531.16   71918.74
72 2023-12-26  sell  149.10   497.99   74249.85
73 2024-02-15  sell  165.20   503.92   83248.33
74 2024-03-07  sell  184.20   507.36   93456.09
75 2024-04-09  sell  206.30   499.75  103097.84
76 2024-04-19   buy  179.00   673.38  120534.61
77 2024-04-29  sell  197.50   445.11   87909.70
78 2024-05-22  sell  218.70   439.06   96021.58
79 2024-06-18  sell  244.15   449.25  109684.20
80 2024-07-08  sell  271.70   414.23  112546.35
81 2024-07-22   buy  236.75   572.49  135537.91
82 2024-08-05   buy  176.90  1408.89  249233.28
83 2024-08-07  sell  209.30   753.69  157747.36
84 2024-08-16  sell  230.90   420.20   97025.05
85 2024-09-04   buy  203.55   575.32  117107.19
86 2024-09-20  sell  226.05   454.82  102812.86
87 2024-10-15  sell  249.40   406.52  101386.84
88 2025-03-10   buy  223.75   474.46  106159.90
89 2025-03-31   buy  191.00   750.34  143314.53
90 2025-04-07   buy  160.25   911.69  146098.94
91 2025-04-08   buy  142.30   656.83   93466.22
92 2025-04-09   buy  126.45   693.85   87736.80
93 2025-04-10  sell  151.70   979.10  148529.78

=== 最終資產配置 ===
持股價值: 1,726,779.83
現金量: 1,636,180.52
總資產: 3,362,960.35
持股比例: 51.35%
現金比例: 48.65%
