Date,Open,High,Low,Close,Volume
2016-10-05,9.98,10.05,9.94,9.98,13267000
2016-10-06,9.98,10.02,9.91,10.01,14835000
2016-10-07,10.03,10.03,9.98,10.00,4922000
2016-10-11,10.18,10.18,9.78,9.86,12081000
2016-10-12,9.88,10.05,9.83,10.04,30247000
2016-10-13,10.00,10.02,9.85,9.88,22642000
2016-10-14,9.84,9.93,9.79,9.83,21386000
2016-10-17,9.80,9.87,9.61,9.82,16495000
2016-10-18,9.84,9.91,9.80,9.90,10124000
2016-10-19,9.93,10.05,9.93,10.00,11627000
2016-10-20,10.02,10.10,9.99,10.09,9400000
2016-10-21,10.06,10.15,10.00,10.06,10439000
2016-10-24,10.14,10.15,10.06,10.13,8164000
2016-10-25,10.15,10.30,10.14,10.30,9649000
2016-10-26,10.20,10.25,10.17,10.18,9560000
2016-10-27,10.18,10.21,10.04,10.07,12479000
2016-10-28,10.12,10.13,10.03,10.05,7670000
2016-10-31,9.97,10.11,9.85,10.09,12783000
2016-11-01,9.99,10.08,9.96,10.07,11674000
2016-11-02,9.91,9.93,9.77,9.77,30558000
2016-11-03,9.78,9.82,9.65,9.65,15281000
2016-11-04,9.63,9.67,9.58,9.60,12357000
2016-11-07,9.71,9.88,9.71,9.88,17096000
2016-11-08,9.93,9.94,9.82,9.93,14250000
2016-11-09,10.05,10.10,9.25,9.30,34363000
2016-11-10,9.77,9.85,9.74,9.85,13842000
2016-11-11,9.50,9.56,9.36,9.36,20373000
2016-11-14,9.36,9.42,9.22,9.35,12862000
2016-11-15,9.31,9.39,9.29,9.32,10572000
2016-11-16,9.42,9.49,9.41,9.42,17054000
2016-11-17,9.42,9.44,9.33,9.40,9665000
2016-11-18,9.41,9.50,9.37,9.48,10015000
2016-11-21,9.47,9.54,9.46,9.54,9950000
2016-11-22,9.62,9.83,9.62,9.81,11189000
2016-11-23,9.82,9.90,9.80,9.87,6843000
2016-11-24,9.82,9.84,9.75,9.81,7583000
2016-11-25,9.80,9.89,9.78,9.84,6801000
2016-11-28,9.83,10.01,9.82,9.97,7288000
2016-11-29,9.97,10.00,9.92,9.94,5688000
2016-11-30,9.95,10.00,9.87,9.94,6809000
2016-12-01,9.96,10.08,9.96,10.05,12024000
2016-12-02,9.89,9.89,9.82,9.83,11799000
2016-12-05,9.85,9.88,9.76,9.82,10023000
2016-12-06,10.00,10.08,10.00,10.05,12818000
2016-12-07,10.14,10.14,10.02,10.04,7778000
2016-12-08,10.22,10.27,10.17,10.26,9879000
2016-12-09,10.28,10.34,10.27,10.34,5424000
2016-12-12,10.41,10.43,10.24,10.25,7263000
2016-12-13,10.26,10.31,10.22,10.31,5548000
2016-12-14,10.35,10.36,10.25,10.28,7174000
2016-12-15,10.17,10.29,10.15,10.29,7549000
2016-12-16,10.25,10.28,10.18,10.18,4887000
2016-12-19,10.14,10.17,10.02,10.03,6864000
2016-12-20,10.05,10.05,9.94,10.00,8673000
2016-12-21,10.00,10.03,9.97,9.97,7106000
2016-12-22,9.95,9.95,9.77,9.77,10978000
2016-12-23,9.74,9.80,9.69,9.72,8345000
2016-12-26,9.74,9.76,9.68,9.74,7171000
2016-12-27,9.75,9.76,9.72,9.74,4652000
2016-12-28,9.76,9.94,9.76,9.94,6170000
2016-12-29,9.87,9.94,9.86,9.88,4626000
2016-12-30,9.99,10.08,9.96,10.04,8618000
2017-01-03,10.02,10.07,9.98,10.05,5134000
