Date,Open,High,Low,Close
2014-01-02,8618.60,8632.81,8587.54,8612.54
2014-01-03,8584.74,8584.74,8537.86,8546.54
2014-01-06,8553.00,8568.24,8488.64,8500.01
2014-01-07,8515.36,8547.19,8512.30,8512.30
2014-01-08,8548.61,8587.08,8548.61,8556.01
2014-01-09,8555.80,8569.11,8506.02,8514.68
2014-01-10,8559.18,8559.18,8521.50,8529.35
2014-01-13,8587.49,8607.23,8558.96,8566.20
2014-01-14,8545.46,8568.31,8523.46,8548.14
2014-01-15,8567.81,8619.56,8567.81,8602.55
2014-01-16,8653.54,8668.95,8610.24,8612.11
2014-01-17,8628.49,8628.86,8580.49,8596.00
2014-01-20,8595.59,8636.21,8584.50,8621.56
2014-01-21,8639.71,8650.14,8599.90,8599.90
2014-01-22,8598.98,8633.57,8596.99,8625.30
2014-01-23,8644.56,8647.87,8595.10,8595.10
2014-01-24,8581.49,8608.64,8577.14,8598.31
2014-01-27,8519.48,8519.48,8442.19,8462.57
2014-02-05,8290.17,8313.83,8230.46,8264.48
2014-02-06,8286.16,8333.56,8284.77,8311.01
2014-02-07,8383.99,8409.03,8356.93,8387.35
2014-02-10,8416.42,8447.02,8391.95,8391.95
2014-02-11,8413.86,8439.33,8401.54,8430.56
2014-02-12,8471.51,8510.87,8471.51,8510.87
2014-02-13,8506.22,8511.02,8467.70,8467.70
2014-02-14,8524.54,8566.99,8508.24,8513.68
2014-02-17,8537.83,8558.50,8512.60,8519.55
2014-02-18,8530.81,8556.23,8506.06,8556.23
2014-02-19,8565.06,8577.01,8543.15,8577.01
2014-02-20,8555.27,8567.50,8513.08,8524.62
2014-02-21,8571.29,8612.08,8571.29,8601.86
2014-02-24,8603.61,8612.21,8541.65,8560.61
2014-02-25,8581.14,8598.73,8564.51,8575.62
2014-02-26,8569.04,8626.68,8563.87,8600.86
2014-02-27,8626.51,8647.90,8615.41,8639.58
2014-03-03,8627.15,8628.05,8545.24,8601.98
2014-03-04,8583.58,8595.59,8554.54,8554.54
2014-03-05,8622.19,8652.22,8622.19,8632.93
2014-03-06,8660.29,8719.17,8660.29,8713.79
2014-03-07,8754.74,8787.62,8698.60,8713.96
2014-03-10,8706.43,8712.88,8651.54,8665.24
2014-03-11,8694.96,8716.31,8684.63,8702.33
2014-03-12,8671.40,8684.73,8651.99,8684.73
2014-03-13,8737.81,8768.66,8732.15,8747.79
2014-03-14,8697.73,8709.56,8677.81,8687.63
2014-03-17,8697.26,8708.40,8662.49,8700.10
2014-03-18,8747.38,8759.55,8713.51,8731.94
2014-03-19,8745.02,8749.80,8682.75,8689.46
2014-03-20,8638.59,8638.59,8580.40,8597.33
2014-03-21,8642.82,8642.82,8562.57,8577.17
2014-03-24,8540.27,8605.38,8508.01,8605.38
2014-03-25,8589.19,8689.30,8589.19,8689.30
2014-03-26,8741.03,8746.71,8717.79,8737.27
2014-03-27,8737.56,8780.42,8723.82,8779.57
2014-03-28,8779.91,8812.41,8751.07,8774.64
2014-03-31,8802.93,8849.28,8769.97,8849.28
2014-04-01,8847.34,8873.15,8826.16,8873.15
2014-04-02,8906.52,8922.79,8883.14,8905.45
2014-04-03,8902.94,8913.74,8871.16,8888.54
2014-04-07,8844.91,8876.44,8828.59,8876.44
2014-04-08,8878.88,8899.12,8860.70,8888.25
2014-04-09,8912.39,8936.57,8912.39,8930.57
2014-04-10,8964.34,8978.52,8898.30,8948.10
2014-04-11,8900.13,8909.97,8848.24,8908.05
2014-04-14,8897.23,8899.51,8852.66,8857.42
2014-04-15,8898.65,8918.94,8889.44,8916.71
2014-04-16,8921.07,8968.56,8894.29,8923.82
2014-04-17,8942.23,8962.66,8921.56,8944.16
2014-04-18,8994.77,9002.70,8945.56,8966.66
2014-04-21,8961.52,8965.58,8938.47,8951.19
2014-04-22,8956.22,8989.06,8955.19,8974.71
2014-04-23,9009.59,9022.28,8947.86,8956.92
2014-04-24,8968.82,8971.94,8926.55,8945.45
2014-04-25,8945.81,8951.06,8749.51,8774.12
2014-04-28,8680.14,8825.93,8671.65,8809.71
2014-04-29,8845.60,8884.48,8833.37,8872.11
2014-04-30,8885.70,8890.09,8791.44,8791.44
2014-05-02,8846.86,8875.90,8839.92,8867.32
2014-05-05,8895.87,8911.08,8844.45,8870.43
2014-05-06,8888.45,8927.39,8853.72,8912.39
2014-05-07,8903.72,8911.03,8856.98,8893.22
2014-05-08,8925.21,8941.46,8891.74,8930.90
2014-05-09,8943.14,8945.63,8878.32,8889.69
2014-05-12,8893.72,8898.31,8803.43,8808.61
2014-05-13,8865.61,8886.66,8809.06,8817.94
2014-05-14,8842.05,8875.16,8812.19,8875.16
2014-05-15,8852.92,8880.65,8839.44,8880.65
2014-05-16,8857.12,8896.72,8816.92,8888.45
2014-05-19,8901.54,8912.35,8877.46,8899.90
2014-05-20,8922.08,8930.79,8887.79,8887.79
2014-05-21,8894.16,8905.04,8848.53,8862.42
2014-05-22,8899.82,8969.63,8899.82,8969.63
2014-05-23,8960.79,9008.22,8960.79,9008.22
2014-05-26,9040.49,9053.75,9026.77,9036.12
2014-05-27,9045.08,9059.19,9035.69,9055.29
2014-05-28,9072.04,9125.14,9069.89,9121.71
2014-05-29,9123.46,9131.66,9093.57,9109.00
2014-05-30,9130.66,9139.57,9075.91,9075.91
2014-06-03,9106.61,9128.34,9070.45,9123.46
2014-06-04,9135.01,9140.55,9114.18,9119.96
2014-06-05,9127.56,9140.72,9094.13,9140.72
2014-06-06,9167.83,9174.77,9122.56,9134.46
2014-06-09,9153.93,9166.58,9138.93,9162.74
2014-06-10,9181.90,9222.37,9171.75,9222.37
2014-06-11,9218.50,9229.80,9204.76,9229.80
2014-06-12,9209.99,9220.89,9186.79,9204.65
2014-06-13,9192.73,9207.74,9171.51,9196.39
2014-06-16,9196.23,9214.19,9179.56,9202.93
2014-06-17,9223.02,9249.87,9200.86,9240.60
2014-06-18,9257.65,9316.64,9204.35,9279.93
2014-06-19,9288.69,9324.40,9283.38,9316.81
2014-06-20,9330.35,9339.83,9273.79,9273.79
2014-06-23,9293.06,9302.65,9225.73,9228.35
2014-06-24,9232.35,9276.24,9232.35,9246.20
2014-06-25,9250.13,9255.87,9229.80,9242.16
2014-06-26,9273.36,9320.94,9271.35,9320.94
2014-06-27,9316.89,9330.95,9303.57,9306.83
2014-06-30,9332.44,9393.07,9327.89,9393.07
2014-07-01,9393.07,9463.06,9374.28,9441.92
2014-07-02,9482.00,9547.05,9421.87,9484.96
2014-07-03,9468.78,9538.65,9449.78,9526.23
2014-07-04,9525.93,9550.11,9482.94,9510.05
2014-07-07,9497.27,9520.20,9454.67,9520.20
2014-07-08,9515.18,9540.57,9499.17,9530.98
2014-07-09,9510.00,9522.99,9478.76,9489.98
2014-07-10,9512.89,9568.75,9512.89,9565.12
2014-07-11,9561.71,9591.27,9478.07,9495.84
2014-07-14,9497.81,9545.99,9488.12,9520.30
2014-07-15,9558.42,9593.68,9547.94,9569.17
2014-07-16,9570.33,9574.13,9471.65,9484.73
2014-07-17,9420.11,9461.86,9373.87,9408.24
2014-07-18,9335.38,9421.34,9335.38,9400.97
2014-07-21,9453.78,9480.14,9426.30,9440.97
2014-07-22,9453.23,9499.36,9418.74,9499.36
2014-07-24,9508.26,9538.07,9483.52,9527.54
2014-07-25,9519.99,9528.70,9412.48,9439.29
2014-07-28,9415.90,9460.43,9385.56,9420.18
2014-07-29,9457.80,9483.75,9357.32,9391.88
2014-07-30,9409.62,9456.03,9398.82,9447.02
2014-07-31,9436.04,9438.97,9313.87,9315.85
2014-08-01,9223.75,9274.64,9201.83,9266.51
2014-08-04,9280.29,9330.19,9258.18,9330.19
2014-08-05,9316.82,9316.82,9141.44,9141.44
2014-08-06,9148.36,9163.81,9070.09,9143.97
2014-08-07,9162.65,9172.88,9108.85,9131.44
2014-08-08,9120.20,9120.20,9014.89,9085.96
2014-08-11,9109.83,9184.96,9107.21,9172.91
2014-08-12,9188.85,9198.10,9146.98,9163.12
