=== 參數設定 ===
股票資料: data/twse/^TWII.csv
初始資金: 1,000,000.00
RSI超賣閾值: 30
RSI超買閾值: 70
RSI計算周期: 14

=== 績效指標 ===
總報酬率: 45.84%
年化報酬率: 3.41%
最大回撤: -26.53%
交易次數: 68
夏普比率: 0.27

=== 交易明細 ===
         date  type     price    rsi  shares       value
0  2014-02-05   buy   8264.48  26.89  121.00  1000000.00
1  2014-02-25  sell   8575.62  76.60  121.00  1037647.86
2  2014-08-05   buy   9141.44  26.72  113.51  1037647.86
3  2014-08-27  sell   9485.59  74.80  113.51  1076712.44
4  2014-09-17   buy   9195.17  29.90  117.10  1076712.44
5  2014-11-06  sell   8891.02  71.10  117.10  1041097.86
6  2014-12-17   buy   8828.36  28.67  117.93  1041097.86
7  2015-01-26  sell   9477.67  79.17  117.93  1117668.74
8  2015-05-15   buy   9579.48  23.26  116.67  1117668.74
9  2015-09-11  sell   8305.82  80.55  116.67   969066.73
10 2015-11-24   buy   8400.14  28.14  115.36   969066.73
11 2016-02-02  sell   8131.24  70.39  115.36   938045.58
12 2016-04-12   buy   8531.18  29.34  109.95   938045.58
13 2016-05-27  sell   8463.61  71.94  109.95   930615.92
14 2016-11-09   buy   8943.20  27.93  104.06   930615.92
15 2016-12-01  sell   9263.53  82.45  104.06   963948.98
16 2016-12-29   buy   9153.09  28.54  105.31   963948.98
17 2017-01-12  sell   9410.18  77.07  105.31   991024.17
18 2017-12-12   buy  10443.28  28.26   94.90   991024.17
19 2018-01-03  sell  10801.57  71.65   94.90  1025024.41
20 2018-02-06   buy  10404.00  29.16   98.52  1025024.41
21 2018-02-08   buy  10528.52  28.77    0.00        0.00
22 2018-03-12  sell  11002.10  76.26   98.52  1083950.50
23 2018-06-27   buy  10701.03  21.49  101.29  1083950.50
24 2018-07-25  sell  10965.79  73.14  101.29  1110769.11
25 2018-09-18   buy  10760.21  28.73  103.23  1110769.11
26 2018-10-01  sell  11051.80  72.70  103.23  1140869.75
27 2018-10-11   buy   9806.11  16.71  116.34  1140869.75
28 2018-11-15  sell   9826.46  70.03  116.34  1143237.32
29 2019-05-13   buy  10558.29  29.12  108.28  1143237.32
30 2019-06-19  sell  10775.34  76.24  108.28  1166739.20
31 2019-08-02   buy  10549.04  24.97  110.60  1166739.20
32 2019-09-16  sell  10898.13  84.32  110.60  1205349.07
33 2020-02-03   buy  11354.92  28.18  106.15  1205349.07
34 2020-04-10  sell  10157.61  79.49  106.15  1078252.05
35 2020-10-30   buy  12546.34  26.06   85.94  1078252.05
36 2020-11-16  sell  13551.83  72.46   85.94  1164665.43
37 2021-05-12   buy  15902.37  29.57   73.24  1164665.43
38 2021-06-01  sell  17162.38  71.27   73.24  1256946.65
39 2021-07-28   buy  17135.22  28.61   73.35  1256946.65
40 2021-09-08  sell  17270.49  74.92   73.35  1266869.32
41 2021-09-22   buy  16925.82  29.35   74.85  1266869.32
42 2021-10-27  sell  17074.55  71.40   74.85  1278001.51
43 2022-01-25   buy  17701.12  27.27   72.20  1278001.51
44 2022-04-06  sell  17522.50  70.47   72.20  1265105.34
45 2022-04-25   buy  16620.90  28.51   76.12  1265105.34
46 2022-06-01  sell  16675.09  70.89   76.12  1269230.03
47 2022-06-20   buy  15367.58  19.82   82.59  1269230.03
48 2022-08-01  sell  14981.69  85.23   82.59  1237358.83
49 2022-09-02   buy  14673.04  27.05   84.33  1237358.83
50 2022-11-11  sell  14007.56  74.95   84.33  1181239.75
51 2022-12-20   buy  14170.03  29.54   83.36  1181239.75
52 2023-01-10  sell  14802.96  70.93   83.36  1234001.96
53 2023-04-25   buy  15370.73  27.54   80.28  1234001.96
54 2023-05-17  sell  15925.29  72.53   80.28  1278523.47
55 2023-07-07   buy  16664.21  23.49   76.72  1278523.47
56 2023-07-27  sell  17241.82  70.97   76.72  1322839.28
57 2023-08-15   buy  16454.80  26.25   80.39  1322839.28
58 2023-11-15  sell  17128.78  85.70   80.39  1377022.08
59 2024-01-17   buy  17161.79  18.07   80.24  1377022.08
60 2024-02-05  sell  18096.07  73.49   80.24  1451986.54
61 2024-08-02   buy  21638.09  24.10   67.10  1451986.54
62 2024-08-23  sell  22158.05  79.07   67.10  1486877.55
63 2024-09-05   buy  21187.71  23.57   70.18  1486877.55
64 2024-09-25  sell  22761.60  79.59   70.18  1597327.51
65 2024-11-28   buy  22298.90  26.76   71.63  1597327.51
66 2024-12-18  sell  23168.67  72.56   71.63  1659631.37
67 2025-03-11   buy  22071.09  22.16   75.19  1659631.37

=== 最終資產配置 ===
持股價值: 1,458,405.55
現金量: 0.00
總資產: 1,458,405.55
持股比例: 100.00%
現金比例: 0.00%
